id,price,nb_bedrooms,indoor_surface,zip_code,subtype,currency,building_state,year_of_construction,energy_certificate,outdoor_terrace_exists,energy,kitchen_type,land_surface,outdoor_surface,country,province,city,parking,url,type
20797639,102000.0,0,35.0,8400,flat_studio,eur,GOOD,2009.0,B,False,,,,,Belgique,Flandre Occidentale,Oostende,False,https://www.immoweb.be/fr/annonce/studio/a-vendre/oostende/8400/20797639,apartment
20812255,345000.0,3,155.0,8210,house,eur,,,A,False,,,217.0,,Belgique,Flandre Occidentale,Zedelgem,True,https://www.immoweb.be/fr/annonce/maison/a-vendre/zedelgem/8210/20812255,house
20796523,225000.0,2,75.0,1120,apartment,eur,TO_RENOVATE,1961.0,G,True,gas,not_installed,,,Belgique,Bruxelles,Neder-Over-Heembeek,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/neder-over-heembeek/1120/20796523,apartment
20812281,245000.0,3,125.0,9170,house,eur,TO_RENOVATE,1934.0,F,True,electric,semi_equipped,238.0,107.0,Belgique,Flandre Orientale,Sint-Gillis-Waas De Klinge,True,https://www.immoweb.be/fr/annonce/maison/a-vendre/sint-gillis-waas-de-klinge/9170/20812281,house
20812248,219000.0,0,42.0,2000,flat_studio,eur,JUST_RENOVATED,,B,False,,,,,Belgique,Anvers,Antwerpen (2000),False,https://www.immoweb.be/fr/annonce/studio/a-vendre/antwerpen-2000/2000/20812248,apartment
20812278,569000.0,6,232.0,2860,house,eur,AS_NEW,2007.0,A,False,,hyper_equipped,432.0,325.0,Belgique,Anvers,Sint-Katelijne-Waver,True,https://www.immoweb.be/fr/annonce/maison/a-vendre/sint-katelijne-waver/2860/20812278,house
20812287,440000.0,3,133.0,9032,house,eur,GOOD,,,False,,,222.0,156.0,Belgique,Flandre Orientale,Wondelgem,False,https://www.immoweb.be/fr/annonce/maison/a-vendre/wondelgem/9032/20812287,house
20703781,399000.0,4,190.0,2850,house,eur,,1913.0,B,True,,,175.0,,Belgique,Anvers,Boom,False,https://www.immoweb.be/fr/annonce/maison/a-vendre/boom/2850/20703781,house
20812259,210000.0,2,74.0,2100,apartment,eur,TO_BE_DONE_UP,1959.0,B,True,gas,semi_equipped,,,Belgique,Anvers,DEURNE,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/deurne/2100/20812259,apartment
20796049,445000.0,2,90.0,1150,ground_floor,eur,AS_NEW,2004.0,G,True,electric,hyper_equipped,,40.0,Belgique,Bruxelles,Woluwe-Saint-Pierre,False,https://www.immoweb.be/fr/annonce/rez-de-chaussee/a-vendre/woluwe-saint-pierre/1150/20796049,apartment
